"Ngô Kiến Huy","nkh","Lê Thành Dương","INDIVIDUAL ARTIST","B","1988","t","16"
"KARIK","karik","Phạm Hoàng Khoa","INDIVIDUAL ARTIST","A","1999","t","17"
"BigDaddy","big","Trần Tất Vũ","INDIVIDUAL ARTIST","F","1991","t","15"
"Vũ Cát Tường","vct","=","Vector Presents","F","1992","t","18"
"Bùi Duy Ngọc","bdn","=","WM20 Entertainment","A","1993","e","12"
"Thái Ngân","pdtn","Phạm Đình Thái Ngân","INDIVIDUAL ARTIST","A","1993","t","9"
"B Ray","bray","Trần Thiện Thanh Bảo","Great Entertainment","A","1993","t","2"
"Lohan","lohan","Dương Thành Đạt","Five6 Entertainment","F","1994","e","20"
"Nhâm Phương Nam","npn","=","Dream Decode Media","A","1994","e","4"
"VƯƠNG BÌNH","vb","Ngô Nguyên Bình","St.319 Entertainment","A","1996","t","1"
"Hustlang Robber","robber","Nguyễn Lê Minh Huy","HUSTLANG","C","1996","t","19"
"Hải Nam","hn","Ngô Hải Nam","INDIVIDUAL ARTIST","D","1996","t","13"
"codynamvo","cody","Võ Đình Nam","KIM Entertainment","B","1996","e","14"
"Phúc Du","pd","Trương Anh Phúc","1989s Entertainment","A","1996","e","10"
"Jey B","jeyb","Nguyễn Hoàng Bách","Great Entertainment","D","1997","t","21"
"Otis","otis","Đỗ Nhật Trường","FORWARD label","B","1997","e","23"
"OgeNus","ogenus","Nguyễn Tuấn Duy","NOMAD MGMT","D","1997","t","26"
"Gill","gill","Vũ Trường Giang","Bombi Entertainment","B","1999","t","5"
"buitruonglinh","btl","Bùi Trường Linh","INDIVIDUAL ARTIST","A","1999","t","6"
"Khoi Vu","kv","Phạm Khôi Vũ","Great Entertainment","D","1999","e","25"
"RIO","rio","Đỗ Việt Tiến","INDIVIDUAL ARTIST","A","1999","e","27"
"Mason Nguyễn","mason","Nguyễn Xuân Bách","Def Jam VietNam","C","2000","t","28"
"Dillan Hoàng Phan","dillan","Phan Đức Nhật Hoàng","NOMAD MGMT","C","2000","e","22"
"CONGB","congb","Nguyễn Thành Công","ASIIX","A","2000","t","3"
"Negav","negav","Đặng Thành An","NOMAD MGMT","B","2001","t","8"
"TEZ","tez","Nguyễn Đình Dương","INDIVIDUAL ARTIST","F","2001","e","30"
"Sơn.K","sonk","Lê Hồng Sơn","DreamS Entertainment","A","2001","t","29"
"Jaysonlei","jsl","Lê Hồ Phước Thịnh","C Mazor Entertainment","D","2003","e","7"
"Ryn Lee","ryn","Lê Quang Huy","NOMAD MGMT","C","2003","t","24"
"Đỗ Nam Sơn","dns","=","Big Arts Entertainment","A","2007","e","11"
